plot_id,range,plot,tray_row,tray_id,seed_id,seed_name,pedigree
13RPN_TRAY001_C01_R1,1,1,1,13RPN_TRAY001,12GHT00001B,Kharkof,Kharkof
13RPN_TRAY001_C01_R3,1,2,3,13RPN_TRAY001,12GHT00002B,Roughrider,Roughrider
13RPN_TRAY001_C01_R4,1,3,4,13RPN_TRAY001,12GHT00003B,Nuplains,Nuplains
13RPN_TRAY001_C01_R6,1,4,6,13RPN_TRAY001,12GHT00004B,Nekota,Nekota
13RPN_TRAY002_C01_R1,1,5,1,13RPN_TRAY002,11ASH90002B,G980172W,SW/IKE
13RPN_TRAY002_C01_R3,1,6,3,13RPN_TRAY002,11ASH90002B,G980723,94CGT-96HV (BULK SELECTION)
13RPN_TRAY002_C01_R4,1,7,4,13RPN_TRAY002,11ASH90002B,G980926 W,95CGT-96WD (BULK SELECTION)
13RPN_TRAY002_C01_R6,1,8,6,13RPN_TRAY002,11ASH90002B,NW97S412-1,KS87809-10/ARAPAHOE
13RPN_TRAY003_C01_R1,1,9,1,13RPN_TRAY003,11ASH90002B,Kharkof,Kharkof
13RPN_TRAY003_C01_R3,1,10,3,13RPN_TRAY003,11ASH90002B,Harding,Harding
13RPN_TRAY003_C01_R4,1,11,4,13RPN_TRAY003,11ASH90002B,Nuplains,Nuplains
13RPN_TRAY003_C01_R6,1,12,6,13RPN_TRAY003,11ASH90002B,Nekota,Nekota
13RPN_TRAY004_C01_R1,1,13,1,13RPN_TRAY004,11ASH90002B,Trego,Trego
13RPN_TRAY004_C01_R3,1,14,3,13RPN_TRAY004,11ASH90002B,T140,93WGRC27/T811
13RPN_TRAY004_C01_R4,1,15,4,13RPN_TRAY004,11ASH90002B,T141,T441/T13
13RPN_TRAY004_C01_R6,1,16,6,13RPN_TRAY004,11ASH90002B,T138,KS90WGRC 10/Jagger
13RPN_TRAY005_C01_R1,1,17,1,13RPN_TRAY005,11ASH90002B,SD00151-7,KS94U328/KS84063-9-39-3-1W//SD93522
13RPN_TRAY005_C01_R3,1,18,3,13RPN_TRAY005,11ASH90002B,Kharkof,Kharkof
