plot_id,row,column,plot,tray_row,tray_id,seed_id,seed_name,pedigree,geo_coordinates
13RPN00001,1,1,1,1,13RPN_TRAY001,12GHT00001B,Kharkof,Kharkof,36.6677618;-96.3431604
13RPN00002,1,2,2,3,13RPN_TRAY001,12GHT00002B,Roughrider,Roughrider,
13RPN00003,1,3,3,4,13RPN_TRAY001,12GHT00003B,Nuplains,Nuplains,
13RPN00004,1,4,4,6,13RPN_TRAY001,12GHT00004B,Nekota,Nekota,
13RPN00005,1,5,5,1,13RPN_TRAY002,11ASH90002B,G980172W,SW/IKE,
13RPN00006,1,6,6,3,13RPN_TRAY002,11ASH90002B,G980723,94CGT-96HV (BULK SELECTION),
13RPN00007,1,7,7,4,13RPN_TRAY002,11ASH90002B,G980926 W,95CGT-96WD (BULK SELECTION),
13RPN00008,1,8,8,6,13RPN_TRAY002,11ASH90002B,NW97S412-1,KS87809-10/ARAPAHOE,
13RPN00009,1,9,9,1,13RPN_TRAY003,11ASH90002B,Kharkof,Kharkof,
13RPN00010,1,10,10,3,13RPN_TRAY003,11ASH90002B,Harding,Harding,
13RPN00011,1,11,11,4,13RPN_TRAY003,11ASH90002B,Nuplains,Nuplains,
13RPN00012,1,12,12,6,13RPN_TRAY003,11ASH90002B,Nekouta,Nekouta,
13RPN00013,1,13,13,1,13RPN_TRAY004,11ASH90002B,Trego,Trego,
13RPN00014,1,14,14,3,13RPN_TRAY004,11ASH90002B,T140,93WGRC27/T811,
13RPN00015,1,15,15,4,13RPN_TRAY004,11ASH90002B,T141,T441/T13,
13RPN00016,1,16,16,6,13RPN_TRAY004,11ASH90002B,T138,KS90WGRC 10/Jagger,
13RPN00017,1,17,17,1,13RPN_TRAY005,11ASH90002B,SD00151-7,KS94U328/KS84063-9-39-3-1W//SD93522,
13RPN00018,1,18,18,3,13RPN_TRAY005,11ASH90002B,Kharkof,Kharkof,
13RPN00019,1,19,19,4,13RPN_TRAY005,11ASH90002B,Scout 66,Scout 66,
13RPN00020,1,20,20,6,13RPN_TRAY005,11ASH90002B,TAM-107,TAM-107,
13RPN00021,2,20,21,1,13RPN_TRAY006,11ASH90002B,SD05W140,SD98153/WENDY,
13RPN00022,2,19,22,3,13RPN_TRAY006,11ASH90002B,SD02804-1,Romania42/Tandem//SD94149,
13RPN00023,2,18,23,4,13RPN_TRAY006,11ASH90002B,SD05004,ERYT26221/SD94149//SD98208,
13RPN00024,2,17,24,6,13RPN_TRAY006,11ASH90002B,SD05118,Wesley/NE93613,
13RPN00025,2,16,25,1,13RPN_TRAY007,11ASH90002B,SD03164-2,89118RC1-X-9-3-3/TX96D2845//Expedition,
13RPN00026,2,15,26,3,13RPN_TRAY007,11ASH90002B,SD05118,Wesley/NE93613,
13RPN00027,2,14,27,4,13RPN_TRAY007,11ASH90002B,SD05210,SD98444/SD97060,
13RPN00028,2,13,28,6,13RPN_TRAY007,11ASH90002B,SD05W030,SD98W302/NW97S186,
13RPN00029,2,12,29,1,13RPN_TRAY008,11ASH90002B,Antelope,Antelope,
13RPN00030,2,11,30,3,13RPN_TRAY008,11ASH90002B,Wesley,Wesley,
13RPN00031,2,10,31,4,13RPN_TRAY008,11ASH90002B,Jerry,Jerry,
13RPN00032,2,9,32,6,13RPN_TRAY008,11ASH90002B,NX05M4180-6,92201D5-2-29 X 99 waxy bulk,
13RPN00033,2,8,33,1,13RPN_TRAY009,11ASH90002B,NW04Y2188,MO8/REDLAND//KS91H184/3*RIO BLANCO,
13RPN00034,2,7,34,3,13RPN_TRAY009,11ASH90002B,HV9W04-1186W,XH1881/98HW423,
13RPN00035,2,6,35,4,13RPN_TRAY009,11ASH90002B,HV9W04-1594R,KS89180B-2-1-1/CMBW91M02959T//JGR,
13RPN00036,2,5,36,6,13RPN_TRAY009,11ASH90002B,HV9W03-1596R,B1397-1/WGRC33,
13RPN00037,2,4,37,1,13RPN_TRAY010,11ASH90002B,KS010990M~8,Trego/Ventnor//KS940786-6-4,
13RPN00038,2,3,38,3,13RPN_TRAY010,11ASH90002B,KS06O3A~50-3,OVERLEY*3/AMADINA,
13RPN00039,2,2,39,4,13RPN_TRAY010,11ASH90002B,KS06O3A~58-2,OVERLEY*3/AMADINA,
13RPN00040,2,1,40,6,13RPN_TRAY010,11ASH90002B,KS011327M~2,KS940748-2-4/TX97V4311//Overley,
13RPN00041,3,1,41,1,13RPN_TRAY011,11ASH90002B,TX06A001281,TX98VR8422/U3704A-7-7,
13RPN00042,3,2,42,3,13RPN_TRAY011,11ASH90002B,TX05V7259,T107//TX78V3620/Ctk78/3/TX87V1233/4/Arap//TX86V1540/T200,
13RPN00043,3,3,43,4,13RPN_TRAY011,11ASH90002B,TX05A001188,T107//TX98V3620/Ctk78/3/TX87V1233/4/N87V106//TX86V1540/T200,
