plot_id,row,column,plot,replicate,germplasm_name,pedigree
23TRN010_0101_1_Barrie,1,1,101,1,Barrie,"BW429, CPSR1//CNR17/3/NI98133/SALWIN"
23TRN010_0102_1_Oahe,1,2,102,1,Oahe,Ransom/SD96240-3-1
23TRN010_0103_1_Jet,1,3,103,1,Jet,MS Chancellor/SD004072
23TRN010_0104_1_Accelerate,1,4,104,1,Accelerate,Kronos/Hugenoot
23TRN010_0105_1_Pistol,1,5,105,1,Pistol,SSB50/Vision 45
23TRN010_0205_1_Cadenza,2,5,205,1,Cadenza,Malacca/Mirage/SD07015
23TRN010_0204_1_Sisson,2,4,204,1,Sisson,Burt/AR623/3/Parker/Alexis
23TRN010_0203_1_Bobwhite,2,3,203,1,Bobwhite,PBW343/3/BAV92-10/Taihugan
23TRN010_0202_1_Zhenis,2,2,202,1,Zhenis,Kazakhstanskaya 126/Aspen/Ciano-99-2/3/Serbai-93-5
23TRN010_0201_1_Vulcan,2,1,201,1,Vulcan,Coker 9835/ND643
23TRN010_0301_2_Oahe,3,1,301,2,Oahe,Ransom/SD96240-3-1
23TRN010_0302_2_Cadenza,3,2,302,2,Cadenza,Malacca/Mirage/SD07015
23TRN010_0303_2_Accelerate,3,3,303,2,Accelerate,Kronos/Hugenoot
23TRN010_0304_2_Bobwhite,3,4,304,2,Bobwhite,PBW343/3/BAV92-10/Taihugan
23TRN010_0305_2_Jet,3,5,305,2,Jet,MS Chancellor/SD004072
23TRN010_0405_2_Zhenis,4,5,405,2,Zhenis,Kazakhstanskaya 126/Aspen/Ciano-99-2/3/Serbai-93-5
23TRN010_0404_2_Pistol,4,4,404,2,Pistol,SSB50/Vision 45
23TRN010_0403_2_Barrie,4,3,403,2,Barrie,"BW429, CPSR1//CNR17/3/NI98133/SALWIN"
23TRN010_0402_2_Sisson,4,2,402,2,Sisson,Burt/AR623/3/Parker/Alexis
23TRN010_0401_2_Vulcan,4,1,401,2,Vulcan,Coker 9835/ND643
23TRN010_0501_3_Zhenis,5,1,501,3,Zhenis,Kazakhstanskaya 126/Aspen/Ciano-99-2/3/Serbai-93-5
23TRN010_0502_3_Barrie,5,2,502,3,Barrie,"BW429, CPSR1//CNR17/3/NI98133/SALWIN"
23TRN010_0503_3_Accelerate,5,3,503,3,Accelerate,Kronos/Hugenoot
23TRN010_0504_3_Pistol,5,4,504,3,Pistol,SSB50/Vision 45
23TRN010_0505_3_Cadenza,5,5,505,3,Cadenza,Malacca/Mirage/SD07015
23TRN010_0605_3_Jet,6,5,605,3,Jet,MS Chancellor/SD004072
23TRN010_0604_3_Vulcan,6,4,604,3,Vulcan,Coker 9835/ND643
23TRN010_0603_3_Sisson,6,3,603,3,Sisson,Burt/AR623/3/Parker/Alexis
23TRN010_0602_3_Oahe,6,2,602,3,Oahe,Ransom/SD96240-3-1
23TRN010_0601_3_Bobwhite,6,1,601,3,Bobwhite,PBW343/3/BAV92-10/Taihugan
23TRN010_0701_4_Cadenza,7,1,701,4,Cadenza,Malacca/Mirage/SD07015
23TRN010_0702_4_Bobwhite,7,2,702,4,Bobwhite,PBW343/3/BAV92-10/Taihugan
23TRN010_0703_4_Accelerate,7,3,703,4,Accelerate,Kronos/Hugenoot
23TRN010_0704_4_Pistol,7,4,704,4,Pistol,SSB50/Vision 45
23TRN010_0705_4_Sisson,7,5,705,4,Sisson,Burt/AR623/3/Parker/Alexis
23TRN010_0805_4_Barrie,8,5,805,4,Barrie,"BW429, CPSR1//CNR17/3/NI98133/SALWIN"
23TRN010_0804_4_Jet,8,4,804,4,Jet,MS Chancellor/SD004072
23TRN010_0803_4_Vulcan,8,3,803,4,Vulcan,Coker 9835/ND643
23TRN010_0802_4_Zhenis,8,2,802,4,Zhenis,Kazakhstanskaya 126/Aspen/Ciano-99-2/3/Serbai-93-5
23TRN010_0801_4_Oahe,8,1,801,4,Oahe,Ransom/SD96240-3-1
23TRN010_0901_5_Sisson,9,1,901,5,Sisson,Burt/AR623/3/Parker/Alexis
23TRN010_0902_5_Jet,9,2,902,5,Jet,MS Chancellor/SD004072
23TRN010_0903_5_Zhenis,9,3,903,5,Zhenis,Kazakhstanskaya 126/Aspen/Ciano-99-2/3/Serbai-93-5
23TRN010_0904_5_Barrie,9,4,904,5,Barrie,"BW429, CPSR1//CNR17/3/NI98133/SALWIN"
23TRN010_0905_5_Bobwhite,9,5,905,5,Bobwhite,PBW343/3/BAV92-10/Taihugan
23TRN010_1005_5_Pistol,10,5,1005,5,Pistol,SSB50/Vision 45
23TRN010_1004_5_Vulcan,10,4,1004,5,Vulcan,Coker 9835/ND643
23TRN010_1003_5_Accelerate,10,3,1003,5,Accelerate,Kronos/Hugenoot
23TRN010_1002_5_Oahe,10,2,1002,5,Oahe,Ransom/SD96240-3-1
23TRN010_1001_5_Cadenza,10,1,1001,5,Cadenza,Malacca/Mirage/SD07015
